source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-05-16_093014_695,video_695_rango_20600_43840,biomedclip_fold_1,23181,3241,19940,2441,4258,800,15682,0.36438274369308854,0.7531626041345264,0.7864593781344033,0.4911468812877264,0.7818040636728355,3241,0.7504,0.4209,0.3662,3.7603,0.7123,0.5335
2025-05-16_093014_695,video_695_rango_20600_43840,biomedclip_fold_2,23181,3241,19940,2069,2687,1172,17253,0.4350294365012616,0.6383832150570812,0.8652457372116349,0.5174440415155683,0.833527457831845,3241,0.6301,0.3792,0.518,1.8226,0.6993,0.5369
2025-05-16_093014_695,video_695_rango_20600_43840,resnet_fold_2,23181,3241,19940,1340,3644,1901,16296,0.26886035313001605,0.4134526380746683,0.8172517552657974,0.32583586626139815,0.7607954790561235,3241,0.4079,0.199,0.2799,0.5388,0.5701,0.4587
2025-05-16_093014_695,video_695_rango_20600_43840,resnet_fold_1,23181,3241,19940,372,2634,2869,17306,0.12375249500998003,0.11477938907744523,0.8679037111334001,0.11909716663998718,0.7626073077088995,3241,0.1139,0.075,0.0398,1.8306,0.4123,0.3744
2025-05-16_093014_695,video_695_rango_20600_43840,vit_fold_1,23181,3241,19940,2767,12293,474,7647,0.18373173970783532,0.8537488429497069,0.38350050150451354,0.3023878476585979,0.449247228333549,3241,0.8537,0.6547,0.2623,1.3307,0.7459,0.5584
2025-05-16_093014_695,video_695_rango_20600_43840,vit_fold_2,23181,3241,19940,2815,11552,426,8388,0.19593512911533376,0.8685590867016353,0.42066198595787363,0.3197410268059973,0.48328372373926926,3241,0.8686,0.3348,0.5659,2.3293,0.7931,0.5774
2025-05-16_093014_695,video_695_rango_20600_43840,biomedclip_promedio,23181.0,3241.0,19940.0,2255.0,3472.5,986.0,16467.5,0.3997,0.6958,0.8259,0.5043,0.8077,3241.0,0.6903,0.4001,0.4421,2.7915,0.7058,0.5352
2025-05-16_093014_695,video_695_rango_20600_43840,resnet_promedio,23181.0,3241.0,19940.0,856.0,3139.0,2385.0,16801.0,0.1963,0.2641,0.8426,0.2225,0.7617,3241.0,0.2609,0.137,0.1598,1.1847,0.4912,0.4165
2025-05-16_093014_695,video_695_rango_20600_43840,vit_promedio,23181.0,3241.0,19940.0,2791.0,11922.5,450.0,8017.5,0.1898,0.8612,0.4021,0.3111,0.4663,3241.0,0.8612,0.4947,0.4141,1.83,0.7695,0.5679
