source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-03-18_085421_578,video_578_rango_7820_34780,biomedclip_fold_2,26960,15960,11000,2974,2599,12986,8401,0.5336443567198995,0.1863408521303258,0.7637272727272727,0.2762271861793526,0.4219213649851632,15960,0.1628,0.0,0.0789,2.5857,0.4411,0.3824
2025-03-18_085421_578,video_578_rango_7820_34780,biomedclip_fold_1,26960,15960,11000,4409,1660,11551,9340,0.7264788268248475,0.2762531328320802,0.8490909090909091,0.4002905261246539,0.5099777448071217,15960,0.2032,0.0,0.2181,2.4244,0.4915,0.406
2025-03-18_085421_578,video_578_rango_7820_34780,resnet_fold_1,26960,15960,11000,6367,3663,9593,7337,0.6347956131605185,0.3989348370927318,0.667,0.48995767602924195,0.5083086053412463,15960,0.3984,0.0,0.2489,2.085,0.5492,0.4352
2025-03-18_085421_578,video_578_rango_7820_34780,resnet_fold_2,26960,15960,11000,3251,5758,12709,5242,0.36086136086136084,0.2036967418546366,0.47654545454545455,0.26040289959549845,0.31502225519287835,15960,0.194,0.0,0.0415,2.793,0.4428,0.3809
2025-03-18_085421_578,video_578_rango_7820_34780,vit_fold_2,26960,15960,11000,5197,6422,10763,4578,0.4472846200189345,0.3256265664160401,0.4161818181818182,0.3768809601508394,0.3625741839762611,15960,0.3214,0.0,0.0861,3.0364,0.4998,0.4102
2025-03-18_085421_578,video_578_rango_7820_34780,vit_fold_1,26960,15960,11000,9546,7037,6414,3963,0.5756497618042574,0.5981203007518797,0.3602727272727273,0.5866699443812802,0.5010756676557864,15960,0.5974,0.0,0.4345,1.9435,0.6461,0.4798
2025-03-18_085421_578,video_578_rango_7820_34780,biomedclip_promedio,26960.0,15960.0,11000.0,3691.5,2129.5,12268.5,8870.5,0.6301,0.2313,0.8064,0.3383,0.4659,15960.0,0.183,0.0,0.1485,2.505,0.4663,0.3942
2025-03-18_085421_578,video_578_rango_7820_34780,resnet_promedio,26960.0,15960.0,11000.0,4809.0,4710.5,11151.0,6289.5,0.4978,0.3013,0.5718,0.3752,0.4117,15960.0,0.2962,0.0,0.1452,2.439,0.496,0.4081
2025-03-18_085421_578,video_578_rango_7820_34780,vit_promedio,26960.0,15960.0,11000.0,7371.5,6729.5,8588.5,4270.5,0.5115,0.4619,0.3882,0.4818,0.4318,15960.0,0.4594,0.0,0.2603,2.4899,0.573,0.445
