source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-03-17_094605_719,video_719_rango_60000_91120,biomedclip_fold_1,31110,11116,19994,4251,4329,6865,15665,0.4954545454545455,0.3824217344368478,0.783485045513654,0.4316612510154346,0.640180006428801,11116,0.3822,0.0,0.0992,2.7584,0.5303,0.4239
2025-03-17_094605_719,video_719_rango_60000_91120,biomedclip_fold_2,31110,11116,19994,7829,1197,3287,18797,0.8673831154442722,0.7043001079525009,0.9401320396118835,0.7773805977559329,0.855866280938605,11116,0.7011,0.0,0.2092,3.4209,0.6741,0.4835
2025-03-17_094605_719,video_719_rango_60000_91120,resnet_fold_2,31110,11116,19994,9640,5909,1476,14085,0.619975561129333,0.8672184238934869,0.7044613384015205,0.7230451903243952,0.7626165220186435,11116,0.8672,0.0,0.1026,4.2481,0.7346,0.5068
2025-03-17_094605_719,video_719_rango_60000_91120,resnet_fold_1,31110,11116,19994,9099,5540,2017,14454,0.6215588496482,0.8185498380712487,0.7229168750625188,0.7065812463599301,0.7570877531340405,11116,0.8185,0.0,0.4715,3.6047,0.7348,0.5225
2025-03-17_094605_719,video_719_rango_60000_91120,vit_fold_2,31110,11116,19994,9198,8054,1918,11940,0.5331555761650824,0.827455919395466,0.5971791537461238,0.6484771573604061,0.6794599807135969,11116,0.8272,0.0,0.2072,4.7282,0.7289,0.5101
2025-03-17_094605_719,video_719_rango_60000_91120,vit_fold_1,31110,11116,19994,9839,11322,1277,8672,0.4649591229147961,0.8851205469593378,0.43373011903571074,0.6096601295039812,0.5950176792028287,11116,0.8851,0.0,0.646,2.2215,0.7923,0.5572
2025-03-17_094605_719,video_719_rango_60000_91120,biomedclip_promedio,31110.0,11116.0,19994.0,6040.0,2763.0,5076.0,17231.0,0.6814,0.5434,0.8618,0.6045,0.748,11116.0,0.5416,0.0,0.1542,3.0896,0.6022,0.4537
2025-03-17_094605_719,video_719_rango_60000_91120,resnet_promedio,31110.0,11116.0,19994.0,9369.5,5724.5,1746.5,14269.5,0.6208,0.8429,0.7137,0.7148,0.7599,11116.0,0.8428,0.0,0.287,3.9264,0.7347,0.5147
2025-03-17_094605_719,video_719_rango_60000_91120,vit_promedio,31110.0,11116.0,19994.0,9518.5,9688.0,1597.5,10306.0,0.4991,0.8563,0.5155,0.6291,0.6372,11116.0,0.8561,0.0,0.4266,3.4748,0.7606,0.5336
