source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-03-18_085421_578,video_578_rango_8820_24780,biomedclip_fold_2,15960,15960,0,2974,0,12986,0,1.0,0.1863408521303258,0.0,0.31414386817365586,0.1863408521303258,15960,0.1628,0.0,0.0789,2.5857,0.4411,0.3824
2025-03-18_085421_578,video_578_rango_8820_24780,biomedclip_fold_1,15960,15960,0,4409,0,11551,0,1.0,0.2762531328320802,0.0,0.4329127595856449,0.2762531328320802,15960,0.2032,0.0,0.2181,2.4244,0.4915,0.406
2025-03-18_085421_578,video_578_rango_8820_24780,resnet_fold_2,15960,15960,0,3251,0,12709,0,1.0,0.2036967418546366,0.0,0.3384519285825829,0.2036967418546366,15960,0.194,0.0,0.0415,2.793,0.4428,0.3809
2025-03-18_085421_578,video_578_rango_8820_24780,resnet_fold_1,15960,15960,0,6367,0,9593,0,1.0,0.3989348370927318,0.0,0.5703408429256058,0.3989348370927318,15960,0.3984,0.0,0.2489,2.085,0.5492,0.4352
2025-03-18_085421_578,video_578_rango_8820_24780,vit_fold_1,15960,15960,0,9546,0,6414,0,1.0,0.5981203007518797,0.0,0.7485297577040697,0.5981203007518797,15960,0.5974,0.0,0.4345,1.9435,0.6461,0.4798
2025-03-18_085421_578,video_578_rango_8820_24780,vit_fold_2,15960,15960,0,5197,0,10763,0,1.0,0.3256265664160401,0.0,0.491279481968143,0.3256265664160401,15960,0.3214,0.0,0.0861,3.0364,0.4998,0.4102
2025-03-18_085421_578,video_578_rango_8820_24780,biomedclip_promedio,15960.0,15960.0,0.0,3691.5,0.0,12268.5,0.0,1.0,0.2313,0.0,0.3735,0.2313,15960.0,0.183,0.0,0.1485,2.505,0.4663,0.3942
2025-03-18_085421_578,video_578_rango_8820_24780,resnet_promedio,15960.0,15960.0,0.0,4809.0,0.0,11151.0,0.0,1.0,0.3013,0.0,0.4544,0.3013,15960.0,0.2962,0.0,0.1452,2.439,0.496,0.4081
2025-03-18_085421_578,video_578_rango_8820_24780,vit_promedio,15960.0,15960.0,0.0,7371.5,0.0,8588.5,0.0,1.0,0.4619,0.0,0.6199,0.4619,15960.0,0.4594,0.0,0.2603,2.4899,0.573,0.445
