source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-03-17_094605_719,video_719_rango_70000_81120,biomedclip_fold_2,11116,11116,0,7829,0,3287,0,1.0,0.7043001079525009,0.0,0.8264977566640275,0.7043001079525009,11116,0.7011,0.0,0.2092,3.4209,0.6741,0.4835
2025-03-17_094605_719,video_719_rango_70000_81120,biomedclip_fold_1,11116,11116,0,4251,0,6865,0,1.0,0.3824217344368478,0.0,0.5532634866922627,0.3824217344368478,11116,0.3822,0.0,0.0992,2.7584,0.5303,0.4239
2025-03-17_094605_719,video_719_rango_70000_81120,resnet_fold_2,11116,11116,0,9643,0,1473,0,1.0,0.8674883051457358,0.0,0.9290428247988823,0.8674883051457358,11116,0.8675,0.0,0.1031,4.2456,0.7347,0.5068
2025-03-17_094605_719,video_719_rango_70000_81120,resnet_fold_1,11116,11116,0,9087,0,2029,0,1.0,0.8174703130622526,0.0,0.899569370885512,0.8174703130622526,11116,0.8175,0.0,0.4726,3.5949,0.7346,0.5225
2025-03-17_094605_719,video_719_rango_70000_81120,vit_fold_2,11116,11116,0,9198,0,1918,0,1.0,0.827455919395466,0.0,0.9055823569951758,0.827455919395466,11116,0.8272,0.0,0.2083,4.7285,0.729,0.5101
2025-03-17_094605_719,video_719_rango_70000_81120,vit_fold_1,11116,11116,0,9842,0,1274,0,1.0,0.8853904282115869,0.0,0.9392117568470274,0.8853904282115869,11116,0.8854,0.0,0.6474,2.2183,0.7925,0.5573
2025-03-17_094605_719,video_719_rango_70000_81120,biomedclip_promedio,11116.0,11116.0,0.0,6040.0,0.0,5076.0,0.0,1.0,0.5434,0.0,0.6899,0.5434,11116.0,0.5416,0.0,0.1542,3.0896,0.6022,0.4537
2025-03-17_094605_719,video_719_rango_70000_81120,resnet_promedio,11116.0,11116.0,0.0,9365.0,0.0,1751.0,0.0,1.0,0.8425,0.0,0.9143,0.8425,11116.0,0.8425,0.0,0.2878,3.9202,0.7347,0.5147
2025-03-17_094605_719,video_719_rango_70000_81120,vit_promedio,11116.0,11116.0,0.0,9520.0,0.0,1596.0,0.0,1.0,0.8564,0.0,0.9224,0.8564,11116.0,0.8563,0.0,0.4279,3.4734,0.7608,0.5337
