source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-05-16_093014_695,video_695_rango_30600_33840,biomedclip_fold_1,3241,3241,0,2441,0,800,0,1.0,0.7531626041345264,0.0,0.8592045054558254,0.7531626041345264,3241,0.7504,0.4209,0.3662,3.7603,0.7123,0.5335
2025-05-16_093014_695,video_695_rango_30600_33840,biomedclip_fold_2,3241,3241,0,2069,0,1172,0,1.0,0.6383832150570812,0.0,0.7792843691148776,0.6383832150570812,3241,0.6301,0.3792,0.518,1.8226,0.6993,0.5369
2025-05-16_093014_695,video_695_rango_30600_33840,resnet_fold_2,3241,3241,0,1340,0,1901,0,1.0,0.4134526380746683,0.0,0.5850251036891508,0.4134526380746683,3241,0.407,0.1981,0.2789,0.5433,0.5699,0.4585
2025-05-16_093014_695,video_695_rango_30600_33840,resnet_fold_1,3241,3241,0,372,0,2869,0,1.0,0.11477938907744523,0.0,0.20592305563243837,0.11477938907744523,3241,0.1139,0.075,0.0407,1.8387,0.4125,0.3745
2025-05-16_093014_695,video_695_rango_30600_33840,vit_fold_2,3241,3241,0,2818,0,423,0,1.0,0.8694847269361308,0.0,0.9301864994223469,0.8694847269361308,3241,0.8695,0.3227,0.5659,2.2928,0.7929,0.5764
2025-05-16_093014_695,video_695_rango_30600_33840,vit_fold_1,3241,3241,0,2764,0,477,0,1.0,0.8528232027152114,0.0,0.9205661948376354,0.8528232027152114,3241,0.8528,0.6538,0.2595,1.3278,0.7452,0.5579
2025-05-16_093014_695,video_695_rango_30600_33840,biomedclip_promedio,3241.0,3241.0,0.0,2255.0,0.0,986.0,0.0,1.0,0.6958,0.0,0.8192,0.6958,3241.0,0.6903,0.4001,0.4421,2.7915,0.7058,0.5352
2025-05-16_093014_695,video_695_rango_30600_33840,resnet_promedio,3241.0,3241.0,0.0,856.0,0.0,2385.0,0.0,1.0,0.2641,0.0,0.3955,0.2641,3241.0,0.2604,0.1366,0.1598,1.191,0.4912,0.4165
2025-05-16_093014_695,video_695_rango_30600_33840,vit_promedio,3241.0,3241.0,0.0,2791.0,0.0,450.0,0.0,1.0,0.8612,0.0,0.9254,0.8612,3241.0,0.8612,0.4883,0.4127,1.8103,0.7691,0.5672
