model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,specificity,specificity_std
biomedclip,0.7248245614035088,0.0247455442464109,0.8576611777839799,0.015836900652856922,0.5391228070175439,0.04105525192782811,0.662070451362706,0.03566461484184236,0.9105263157894737,0.005964912280701784
resnet101,0.6999122807017544,0.03580802421628093,0.7876798788184802,0.01903833885359224,0.5473684210526316,0.06976678894961444,0.6458958699927544,0.05495833188570465,0.8524561403508772,0.0001754385964912175
vit,0.714561403508772,0.04055501881954987,0.8094635627530364,0.03899946511237129,0.5612280701754386,0.05749326196002097,0.6628677994198094,0.05315313911068359,0.8678947368421053,0.02157894736842103
