model,bleu_1,bleu_1_std,bleu_4,bleu_4_std,malignancy_accuracy,malignancy_accuracy_std,location_accuracy,location_accuracy_std,paris_accuracy,paris_accuracy_std,size_mae_mm,size_mae_mm_std
biomedclip,0.6468825671132171,0.013601340182590904,0.24252095422308187,0.0013336800932090415,0.49491228070175436,0.033095942202590406,0.5233333333333333,0.013138595633490124,0.21,0.0008703301639589739,3.7640741945981127,0.12236149384228079
resnet101,0.6107736780563856,0.021346348896812972,0.2644836995547896,0.00365445231431602,0.5014035087719299,0.05055401662049863,0.48385964912280705,0.02112140656543801,0.25298245614035086,0.03706389907913453,3.3733974358974357,0.13576453131583288
vit,0.6229916897506925,0.03281185238754575,0.2598648102143394,0.010550257944507646,0.5056140350877193,0.03867822115744554,0.4971052631578947,0.029017079121645167,0.2375438596491228,0.015450700007486717,3.6864645201625508,0.18728128272632927
