source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-12-01_080328_674,video_674,biomedclip_fold_2,14668,1682,12986,306,2240,1376,10746,0.1201885310290652,0.18192627824019025,0.8275065455105498,0.14474929044465468,0.7534769566403055,1682,0.1819,0.0,0.0375,9.4608,0.4361,0.3961
2025-12-01_080328_674,video_674,biomedclip_fold_1,14668,1682,12986,534,3890,1148,9096,0.12070524412296564,0.31747919143876335,0.7004466348375173,0.17490992466426467,0.6565312244341424,1682,0.2663,0.0,0.2194,8.6517,0.5117,0.4606
2025-12-01_080328_674,video_674,resnet_fold_1,14668,1682,12986,531,3839,1151,9147,0.12151029748283752,0.3156956004756243,0.704373941167411,0.17547918043621943,0.6598036542132534,1682,0.3103,0.0,0.1005,5.919,0.5076,0.4567
2025-12-01_080328_674,video_674,resnet_fold_2,14668,1682,12986,678,4512,1004,8474,0.130635838150289,0.40309155766944116,0.6525488988141075,0.19732246798603026,0.6239432778838288,1682,0.4007,0.0,0.0482,10.618,0.5214,0.446
2025-12-01_080328_674,video_674,vit_fold_2,14668,1682,12986,1261,7482,421,5504,0.14422966944984558,0.7497027348394768,0.423841059602649,0.24191846522781774,0.46120807199345515,1682,0.7449,0.0,0.0856,8.1332,0.6802,0.5601
2025-12-01_080328_674,video_674,vit_fold_1,14668,1682,12986,1457,7381,225,5605,0.16485630233084408,0.866230677764566,0.43161866625596795,0.27699619771863115,0.4814562312517044,1682,0.8662,0.0,0.6807,8.3315,0.7871,0.6949
2025-12-01_080328_674,video_674,biomedclip_promedio,14668.0,1682.0,12986.0,420.0,3065.0,1262.0,9921.0,0.1204,0.2497,0.764,0.1598,0.705,1682.0,0.2241,0.0,0.1285,9.0563,0.4739,0.4284
2025-12-01_080328_674,video_674,resnet_promedio,14668.0,1682.0,12986.0,604.5,4175.5,1077.5,8810.5,0.1261,0.3594,0.6785,0.1864,0.6419,1682.0,0.3555,0.0,0.0743,8.2685,0.5145,0.4514
2025-12-01_080328_674,video_674,vit_promedio,14668.0,1682.0,12986.0,1359.0,7431.5,323.0,5554.5,0.1545,0.808,0.4277,0.2595,0.4713,1682.0,0.8055,0.0,0.3831,8.2324,0.7337,0.6275
