source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm)
2025-03-18_085421_578,video_2,biomedclip,49755,5522,44233,2724,10765,2798,33468,0.20194232337460152,0.49329952915610287,0.7566296656342549,0.2865709326179581,0.7274042809767862,5522,0.0,0.1516,0.1195,3.9369
2025-03-18_085421_578,video_2,resnet,49755,5522,44233,2948,16438,2574,27795,0.15206850304343342,0.5338645418326693,0.6283770035946014,0.23671109683635783,0.6178876494824641,5522,0.0,0.213,0.1695,2.6357
2025-03-18_085421_578,video_2,vit,49755,5522,44233,4904,34207,618,10026,0.12538671984863595,0.8880840275262586,0.22666335089186807,0.21974772029664152,0.300070344688976,5522,0.0,0.144,0.329,4.0844
