source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-05-28_110348_321,video_321,biomedclip_fold_1,17990,950,17040,107,6267,843,10773,0.01678694697207405,0.11263157894736842,0.632218309859155,0.02921900600764609,0.6047804335742079,950,0.1095,0.0,0.0905,2.9907,0.3925,0.3642
2025-05-28_110348_321,video_321,biomedclip_fold_2,17990,950,17040,24,6940,926,10100,0.0034462952326249283,0.02526315789473684,0.5927230046948356,0.006065200909780136,0.562757087270706,950,0.0211,0.0,0.0168,3.0417,0.3432,0.3266
2025-05-28_110348_321,video_321,resnet_fold_1,17990,950,17040,60,7639,890,9401,0.007793219898688141,0.06315789473684211,0.5517018779342723,0.013874436351023239,0.5259032795997777,950,0.0632,0.0,0.0221,4.0167,0.3617,0.3388
2025-05-28_110348_321,video_321,resnet_fold_2,17990,950,17040,78,7140,872,9900,0.010806317539484621,0.08210526315789474,0.5809859154929577,0.01909892262487757,0.5546414674819344,950,0.0821,0.0,0.0326,3.8077,0.3713,0.3453
2025-05-28_110348_321,video_321,vit_fold_2,17990,950,17040,326,13266,624,3774,0.02398469688051795,0.3431578947368421,0.22147887323943663,0.044835648466510794,0.22790439132851584,950,0.3326,0.0,0.2779,3.7577,0.5198,0.4661
2025-05-28_110348_321,video_321,vit_fold_1,17990,950,17040,645,12676,305,4364,0.048419788304181366,0.6789473684210526,0.25610328638497654,0.09039310489804499,0.2784324624791551,950,0.6789,0.0,0.2021,5.2202,0.6613,0.5399
2025-05-28_110348_321,video_321,biomedclip_promedio,17990.0,950.0,17040.0,65.5,6603.5,884.5,10436.5,0.0101,0.0689,0.6125,0.0176,0.5838,950.0,0.0653,0.0,0.0536,3.0162,0.3679,0.3454
2025-05-28_110348_321,video_321,resnet_promedio,17990.0,950.0,17040.0,69.0,7389.5,881.0,9650.5,0.0093,0.0726,0.5663,0.0165,0.5403,950.0,0.0727,0.0,0.0273,3.9122,0.3665,0.342
2025-05-28_110348_321,video_321,vit_promedio,17990.0,950.0,17040.0,485.5,12971.0,464.5,4069.0,0.0362,0.5111,0.2388,0.0676,0.2532,950.0,0.5057,0.0,0.24,4.4889,0.5906,0.503
