source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-05-30_102030_811,video_811,biomedclip_fold_2,13078,0,13078,0,2043,0,11035,0.0,0.0,0.8437834531273896,0.0,0.8437834531273896,0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,biomedclip_fold_1,13078,0,13078,0,2535,0,10543,0.0,0.0,0.8061630218687873,0.0,0.8061630218687873,0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,resnet_fold_2,13078,0,13078,0,1720,0,11358,0.0,0.0,0.8684814191772442,0.0,0.8684814191772442,0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,resnet_fold_1,13078,0,13078,0,2359,0,10719,0.0,0.0,0.8196207371157669,0.0,0.8196207371157669,0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,vit_fold_1,13078,0,13078,0,7068,0,6010,0.0,0.0,0.459550389967885,0.0,0.459550389967885,0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,vit_fold_2,13078,0,13078,0,6672,0,6406,0.0,0.0,0.48983024927358926,0.0,0.48983024927358926,0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,biomedclip_promedio,13078.0,0.0,13078.0,0.0,2289.0,0.0,10789.0,0.0,0.0,0.825,0.0,0.825,0.0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,resnet_promedio,13078.0,0.0,13078.0,0.0,2039.5,0.0,11038.5,0.0,0.0,0.8441,0.0,0.8441,0.0,0.0,0.0,0.0,,,
2025-05-30_102030_811,video_811,vit_promedio,13078.0,0.0,13078.0,0.0,6870.0,0.0,6208.0,0.0,0.0,0.4747,0.0,0.4747,0.0,0.0,0.0,0.0,,,
