source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-03-18_085421_578,video_578,biomedclip_fold_2,49754,15960,33794,2974,5047,12986,28747,0.37077671113327515,0.1863408521303258,0.8506539622418181,0.24802969017138565,0.6375567793544238,15960,0.1628,0.0,0.0789,2.5857,0.4238,0.3788
2025-03-18_085421_578,video_578,biomedclip_fold_1,49754,15960,33794,4409,6339,11551,27455,0.41021585411239303,0.2762531328320802,0.8124223234893768,0.33016324696720084,0.640430920127025,15960,0.2032,0.0,0.2181,2.4244,0.4817,0.4308
2025-03-18_085421_578,video_578,resnet_fold_1,49754,15960,33794,6356,8592,9604,25202,0.4252073856034252,0.39824561403508774,0.7457536840859325,0.4112851041801475,0.6342806608513888,15960,0.3977,0.0,0.249,2.0857,0.547,0.488
2025-03-18_085421_578,video_578,resnet_fold_2,49754,15960,33794,3263,11104,12697,22690,0.2271177002853762,0.2044486215538847,0.6714209623010001,0.21518778646090944,0.5216264018973349,15960,0.1941,0.0,0.0421,2.7971,0.4272,0.377
2025-03-18_085421_578,video_578,vit_fold_1,49754,15960,33794,9553,20511,6407,13283,0.3177554550292709,0.5985588972431077,0.393057939279162,0.41513123587693374,0.45897817260923746,15960,0.5978,0.0,0.435,1.942,0.6602,0.5774
2025-03-18_085421_578,video_578,vit_fold_2,49754,15960,33794,5200,16425,10760,17369,0.24046242774566473,0.3258145363408521,0.5139669763863408,0.276706132765731,0.4536117699079471,15960,0.3216,0.0,0.0861,3.0346,0.4931,0.424
2025-03-18_085421_578,video_578,biomedclip_promedio,49754.0,15960.0,33794.0,3691.5,5693.0,12268.5,28101.0,0.3905,0.2313,0.8315,0.2891,0.639,15960.0,0.183,0.0,0.1485,2.505,0.4527,0.4048
2025-03-18_085421_578,video_578,resnet_promedio,49754.0,15960.0,33794.0,4809.5,9848.0,11150.5,23946.0,0.3262,0.3013,0.7086,0.3132,0.578,15960.0,0.2959,0.0,0.1456,2.4414,0.4871,0.4325
2025-03-18_085421_578,video_578,vit_promedio,49754.0,15960.0,33794.0,7376.5,18468.0,8583.5,15326.0,0.2791,0.4622,0.4535,0.3459,0.4563,15960.0,0.4597,0.0,0.2606,2.4883,0.5766,0.5007
