source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-05-16_093014_695,video_695,biomedclip_fold_2,48415,3241,45174,2069,3892,1172,41282,0.3470894145277638,0.6383832150570812,0.9138442466905742,0.4496848511193219,0.8954043168439533,3241,0.6301,0.3792,0.518,1.8226,0.7117,0.6744
2025-05-16_093014_695,video_695,biomedclip_fold_1,48415,3241,45174,2441,6828,800,38346,0.2633509547955551,0.7531626041345264,0.8488511090450259,0.39024780175859314,0.8424455230816895,3241,0.7504,0.4209,0.3662,3.7603,0.7391,0.6238
2025-05-16_093014_695,video_695,resnet_fold_1,48415,3241,45174,372,4431,2869,40743,0.07745159275452843,0.11477938907744523,0.9019126045955638,0.09249129786176032,0.8492202829701538,3241,0.1139,0.075,0.0398,1.8306,0.3894,0.3603
2025-05-16_093014_695,video_695,resnet_fold_2,48415,3241,45174,1340,6054,1901,39120,0.18122802272112523,0.4134526380746683,0.8659848585469518,0.2519981194170193,0.8356914179489827,3241,0.4079,0.199,0.2799,0.5388,0.5679,0.5282
2025-05-16_093014_695,video_695,vit_fold_2,48415,3241,45174,2815,21895,426,23279,0.11392148927559692,0.8685590867016353,0.5153185460663213,0.2014239204321849,0.5389651967365486,3241,0.8686,0.3348,0.5659,2.3293,0.8144,0.7278
2025-05-16_093014_695,video_695,vit_fold_1,48415,3241,45174,2767,21819,474,23355,0.1125437240706093,0.8537488429497069,0.5170009297383451,0.19887159952564057,0.539543529897759,3241,0.8537,0.6547,0.2623,1.3307,0.778,0.6482
2025-05-16_093014_695,video_695,biomedclip_promedio,48415.0,3241.0,45174.0,2255.0,5360.0,986.0,39814.0,0.3052,0.6958,0.8813,0.42,0.8689,3241.0,0.6903,0.4001,0.4421,2.7915,0.7254,0.6491
2025-05-16_093014_695,video_695,resnet_promedio,48415.0,3241.0,45174.0,856.0,5242.5,2385.0,39931.5,0.1293,0.2641,0.8839,0.1722,0.8425,3241.0,0.2609,0.137,0.1598,1.1847,0.4787,0.4443
2025-05-16_093014_695,video_695,vit_promedio,48415.0,3241.0,45174.0,2791.0,21857.0,450.0,23317.0,0.1132,0.8612,0.5162,0.2001,0.5393,3241.0,0.8612,0.4947,0.4141,1.83,0.7962,0.688
