source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm)
2025-03-17_094605_719,video_1,biomedclip,102469,11517,90952,5314,14326,6203,76626,0.2705702647657841,0.4614048797429886,0.8424883455009236,0.3411111467727958,0.7996564814724453,11517,0.0,0.0891,0.1674,
2025-03-17_094605_719,video_1,resnet,102469,11517,90952,9062,12283,2455,78669,0.4245490747247599,0.7868368498740992,0.8649507432491864,0.5515184711825208,0.8561711346846363,11517,0.0,0.0313,0.4079,
2025-03-17_094605_719,video_1,vit,102469,11517,90952,10289,50839,1228,40113,0.16831893731187017,0.8933750108535209,0.4410348315595039,0.2832679468648909,0.4918755916423504,11517,0.0,0.1503,0.5398,
