source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-12-01_133935_383,video_383,biomedclip_fold_2,26978,135,26843,117,4996,18,21847,0.02288284764326227,0.8666666666666667,0.8138807137801289,0.04458841463414634,0.8141448587738157,135,0.8667,0.0,0.5778,3.0256,0.8282,0.7231
2025-12-01_133935_383,video_383,biomedclip_fold_1,26978,135,26843,122,6518,13,20325,0.018373493975903616,0.9037037037037037,0.7571806429981746,0.03601476014760148,0.757913855734302,135,0.9037,0.0,0.7333,5.2623,0.8699,0.7751
2025-12-01_133935_383,video_383,resnet_fold_1,26978,135,26843,129,8282,6,18561,0.01533705861372013,0.9555555555555556,0.6914651864545691,0.030189562368359468,0.6927867151011936,135,0.9556,0.0,0.637,4.9922,0.8731,0.7597
2025-12-01_133935_383,video_383,resnet_fold_2,26978,135,26843,115,5903,20,20940,0.019109338650714524,0.8518518518518519,0.7800916440040234,0.03738013976921827,0.7804507376380755,135,0.8519,0.0,0.1481,6.1391,0.7636,0.6153
2025-12-01_133935_383,video_383,vit_fold_2,26978,135,26843,135,11452,0,15391,0.011650988176404592,1.0,0.5733710837089744,0.023033612011602114,0.5755059678256357,135,1.0,0.0,0.2074,5.6741,0.8291,0.6417
2025-12-01_133935_383,video_383,vit_fold_1,26978,135,26843,130,16848,5,9995,0.007656967840735069,0.9629629629629629,0.37235033342025853,0.015193128031321217,0.3753058047297798,135,0.963,0.0,0.7407,4.9385,0.895,0.7805
2025-12-01_133935_383,video_383,biomedclip_promedio,26978.0,135.0,26843.0,119.5,5757.0,15.5,21086.0,0.0206,0.8852,0.7855,0.0403,0.786,135.0,0.8852,0.0,0.6555,4.144,0.8491,0.7491
2025-12-01_133935_383,video_383,resnet_promedio,26978.0,135.0,26843.0,122.0,7092.5,13.0,19750.5,0.0172,0.9037,0.7358,0.0338,0.7366,135.0,0.9038,0.0,0.3926,5.5656,0.8183,0.6875
2025-12-01_133935_383,video_383,vit_promedio,26978.0,135.0,26843.0,132.5,14150.0,2.5,12693.0,0.0097,0.9815,0.4729,0.0191,0.4754,135.0,0.9815,0.0,0.4741,5.3063,0.862,0.7111
