source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-12-01_141231_211,video_211,biomedclip_fold_1,27003,4441,22562,869,3097,3572,19465,0.21911245587493697,0.19567664940328755,0.8627338001950182,0.20673248483406687,0.7530274413954006,4441,0.1957,0.0,0.109,0.8654,0.4437,0.4144
2025-12-01_141231_211,video_211,biomedclip_fold_2,27003,4441,22562,171,1477,4270,21085,0.10376213592233009,0.038504841251970276,0.9345359453949118,0.05616685826900968,0.7871717957264007,4441,0.0385,0.0,0.0214,1.8596,0.3493,0.3309
2025-12-01_141231_211,video_211,resnet_fold_1,27003,4441,22562,96,2542,4345,20020,0.03639120545868082,0.021616752983562262,0.8873326832727595,0.027122474925836984,0.7449542643409991,4441,0.0216,0.0,0.0005,5.7292,0.3408,0.3235
2025-12-01_141231_211,video_211,resnet_fold_2,27003,4441,22562,284,2145,4157,20417,0.11692054343351173,0.06394956090970502,0.9049286410779186,0.0826783114992722,0.7666185238677184,4441,0.0635,0.0,0.0227,2.3697,0.3622,0.339
2025-12-01_141231_211,video_211,vit_fold_2,27003,4441,22562,1429,9384,3012,13178,0.13215573846296125,0.3217743751407341,0.5840794255828384,0.1873606922774354,0.5409398955671592,4441,0.3206,0.0,0.3179,1.5479,0.5153,0.4656
2025-12-01_141231_211,video_211,vit_fold_1,27003,4441,22562,283,8800,4158,13762,0.03115710668281405,0.06372438639945958,0.6099636557042816,0.04185152321798285,0.5201273932526016,4441,0.0637,0.0,0.0041,9.1449,0.3589,0.3353
2025-12-01_141231_211,video_211,biomedclip_promedio,27003.0,4441.0,22562.0,520.0,2287.0,3921.0,20275.0,0.1614,0.1171,0.8986,0.1314,0.7701,4441.0,0.1171,0.0,0.0652,1.3625,0.3965,0.3727
2025-12-01_141231_211,video_211,resnet_promedio,27003.0,4441.0,22562.0,190.0,2343.5,4251.0,20218.5,0.0767,0.0428,0.8961,0.0549,0.7558,4441.0,0.0426,0.0,0.0116,4.0495,0.3515,0.3313
2025-12-01_141231_211,video_211,vit_promedio,27003.0,4441.0,22562.0,856.0,9092.0,3585.0,13470.0,0.0817,0.1927,0.597,0.1146,0.5305,4441.0,0.1921,0.0,0.161,5.3464,0.4371,0.4004
