model,videos_evaluated,total_evaluated_frames,total_gt_frames_with_lesion,total_gt_frames_without_lesion,total_tp,total_fp,total_fn,total_tn,avg_precision,std_precision,avg_recall,std_recall,avg_specificity,std_specificity,avg_f1,std_f1,avg_accuracy,std_accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
biomedclip_promedio,8,300354.0,38705.0,261649.0,13437.5,39164.5,25267.5,222484.5,0.1848,0.17124160563367768,0.34571250000000003,0.2987269465477629,0.8135625000000001,0.09032017960428332,0.1935,0.17502881905560583,0.7551,0.09746254408745957,38705.0,0.3351375,0.0500125,0.204175,3.6963,0.5520857142857143,0.49308571428571435
resnet_promedio,8,300354.0,38705.0,261649.0,16632.0,49154.5,22073.0,212494.5,0.145,0.15925859474452234,0.34445,0.3207736000670878,0.7738875,0.11217770987923581,0.17205,0.19019446627070935,0.726125,0.11866964386480648,38705.0,0.3428875,0.017125,0.13556249999999997,4.1874714285714285,0.5383714285714286,0.4720142857142857
vit_promedio,8,300354.0,38705.0,261649.0,22997.0,125431.0,15708.0,136218.0,0.1123375,0.09487722247067523,0.5787125,0.3262592467559349,0.47465,0.10901198328624241,0.16976249999999998,0.13131643021248332,0.48008749999999994,0.10234228643991693,38705.0,0.577325,0.0618375,0.29107500000000003,4.445857142857142,0.6812285714285714,0.5807714285714286
