source_video,video_dir,model,evaluated_frames,gt_frames_with_lesion,gt_frames_without_lesion,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,GT Positive Frames,Malignacy Acc.,Loc. Acc.,Paris Acc.,Size (mm),BLEU-1,BLEU-4
2025-03-17_094605_719,video_719,biomedclip_fold_2,102468,12296,90172,7925,4171,4371,86001,0.6551752645502645,0.6445185426154847,0.9537439559952091,0.6498032141685798,0.916637389233712,12296,0.6416,0.0,0.1898,3.3885,0.6658,0.5488
2025-03-17_094605_719,video_719,biomedclip_fold_1,102468,12296,90172,4807,12049,7489,78123,0.28518035121025154,0.3909401431359792,0.8663775894956306,0.32978869374313946,0.809325838310497,12296,0.3907,0.0,0.0902,2.6087,0.5325,0.4554
2025-03-17_094605_719,video_719,resnet_fold_1,102468,12296,90172,9845,11156,2451,79016,0.4687872006094948,0.8006668835393624,0.8762808854189771,0.5913445655764783,0.8672073232618964,12296,0.8007,0.0,0.4536,3.5838,0.7567,0.6441
2025-03-17_094605_719,video_719,resnet_fold_2,102468,12296,90172,10117,10891,2179,79281,0.4815784463061691,0.8227878985035784,0.8792197134365435,0.6075546480903196,0.8724479837607838,12296,0.8228,0.0,0.093,4.197,0.7472,0.5861
2025-03-17_094605_719,video_719,vit_fold_1,102468,12296,90172,10693,37363,1603,52809,0.22251123689029464,0.8696324007807417,0.5856474293572284,0.35435445387062564,0.6197251824959987,12296,0.8696,0.0,0.5979,2.1503,0.8198,0.6982
2025-03-17_094605_719,video_719,vit_fold_2,102468,12296,90172,9300,31820,2996,58352,0.22616731517509728,0.7563435263500325,0.6471188395510802,0.3482102740751835,0.6602256314166374,12296,0.7561,0.0,0.1934,4.707,0.725,0.5712
2025-03-17_094605_719,video_719,biomedclip_promedio,102468.0,12296.0,90172.0,6366.0,8110.0,5930.0,82062.0,0.4702,0.5177,0.9101,0.4898,0.863,12296.0,0.5161,0.0,0.14,2.9986,0.5991,0.5021
2025-03-17_094605_719,video_719,resnet_promedio,102468.0,12296.0,90172.0,9981.0,11023.5,2315.0,79148.5,0.4752,0.8117,0.8778,0.5994,0.8698,12296.0,0.8117,0.0,0.2733,3.8904,0.752,0.6151
2025-03-17_094605_719,video_719,vit_promedio,102468.0,12296.0,90172.0,9996.5,34591.5,2299.5,55580.5,0.2243,0.813,0.6164,0.3513,0.64,12296.0,0.8129,0.0,0.3957,3.4287,0.7724,0.6347
